Batch,Battery,CNN_MAE,CNN_MAPE,CNN_MSE,LSTM_MAE,LSTM_MAPE,LSTM_MSE,GRU_MAE,GRU_MAPE,GRU_MSE,MLP_MAE,MLP_MAPE,MLP_MSE,Attention_MAE,Attention_MAPE,Attention_MSE
1,1,,,,4.672,5.143,0.044,5.383,5.841,0.045,7.183,7.82,0.072,,,
1,2,,,,6.631,7.393,0.078,6.153,6.826,0.063,6.221,6.867,0.066,,,
1,3,,,,9.214,10.295,0.129,10.083,11.157,0.129,7.266,7.975,0.068,,,
1,4,,,,7.671,8.472,0.092,8.676,9.454,0.095,4.766,5.176,0.038,,,
1,5,,,,7.261,7.887,0.065,4.997,5.435,0.032,6.472,6.862,0.057,,,
1,6,,,,7.836,8.343,0.073,7.856,8.347,0.07,5.548,5.913,0.042,,,
1,7,,,,14.585,15.472,0.23,15.357,16.278,0.253,12.32,13.102,0.167,,,
1,8,,,,6.388,6.929,0.053,6.127,6.631,0.048,12.137,13.352,0.194,,,
2,1,,,,8.08,8.543,0.081,7.751,8.194,0.074,3.614,3.856,0.025,,,
2,2,,,,26.282,27.723,0.733,26.26,27.795,0.733,14.182,14.99,0.219,,,
2,3,,,,11.434,12.359,0.167,10.555,11.366,0.137,8.375,8.917,0.114,,,
2,4,,,,3.698,4.061,0.024,3.133,3.414,0.016,5.416,5.916,0.052,,,
2,5,,,,6.043,6.799,0.079,4.407,4.992,0.053,3.917,4.225,0.025,,,
2,6,,,,16.329,17.518,0.319,16.569,17.865,0.334,9.476,10.279,0.111,,,
2,7,,,,6.316,6.967,0.068,5.411,5.864,0.041,5.638,6.106,0.054,,,
2,8,,,,4.357,4.605,0.036,4.777,5.083,0.038,4.939,5.205,0.036,,,
2,9,,,,10.357,11.587,0.157,8.719,9.577,0.105,4.101,4.482,0.034,,,
2,10,,,,5.906,6.693,0.088,5.151,5.715,0.069,4.741,5.164,0.035,,,
2,11,,,,17.517,19.391,0.38,17.778,19.475,0.366,2.696,2.934,0.018,,,
2,12,,,,13.994,15.436,0.25,14.469,15.818,0.251,7.126,7.795,0.073,,,
2,13,,,,7.608,8.548,0.124,8.723,9.604,0.119,5.405,5.954,0.047,,,
2,14,,,,8.787,9.838,0.135,9.046,9.953,0.128,6.593,7.248,0.057,,,
2,15,,,,16.895,18.843,0.343,16.765,18.492,0.321,4.62,5.199,0.04,,,
3,1,,,,8.244,8.978,0.103,7.879,8.571,0.094,7.823,8.249,0.087,,,
3,2,,,,6.318,6.807,0.06,6.428,6.871,0.057,5.576,5.99,0.052,,,
3,3,,,,5.494,5.946,0.048,5.162,5.519,0.039,7.921,8.379,0.1,,,
3,4,,,,9.067,9.462,0.114,8.95,9.332,0.11,5.412,5.733,0.046,,,
3,5,,,,7.307,7.863,0.076,6.767,7.189,0.063,7.617,8.043,0.081,,,
3,6,,,,5.518,5.884,0.053,5.812,6.193,0.056,5.346,5.677,0.05,,,
3,7,,,,5.484,5.789,0.051,5.16,5.426,0.045,7.676,8.095,0.095,,,
3,8,,,,4.939,5.201,0.037,5.017,5.271,0.038,4.555,4.817,0.037,,,
4,1,,,,10.882,12.085,0.218,10.316,11.36,0.185,7.647,8.446,0.111,,,
4,2,,,,11.316,12.288,0.196,11.167,12.033,0.177,7.415,8.005,0.095,,,
4,3,,,,10.907,12.008,0.214,10.556,11.594,0.195,8.299,9.039,0.126,,,
4,4,,,,12.938,13.888,0.238,13.062,14.012,0.237,11.796,12.635,0.186,,,
4,5,,,,9.281,10.131,0.148,9.555,10.398,0.153,6.98,7.576,0.078,,,
4,6,,,,11.489,12.389,0.185,11.936,12.867,0.192,10.249,11.066,0.148,,,
4,7,,,,9.53,10.376,0.165,10.208,11.091,0.181,9.52,10.276,0.146,,,
4,8,,,,11.857,12.851,0.2,12.04,13.048,0.2,7.446,8.03,0.087,,,
5,1,,,,31.894,35.736,1.773,32.687,36.376,1.673,17.263,18.872,0.515,,,
5,2,,,,32.947,36.297,1.725,32.409,35.796,1.709,18.211,19.912,0.437,,,
5,3,,,,36.53,41.208,2.302,35.618,40.211,2.241,14.274,15.938,0.381,,,
5,4,,,,37.991,42.38,2.338,39.821,44.154,2.403,19.59,21.146,0.625,,,
5,5,,,,36.86,41.819,2.406,37.049,41.879,2.336,18.945,21.283,0.596,,,
5,6,,,,35.556,39.759,2.053,37.033,41.171,2.081,15.483,16.984,0.471,,,
5,7,,,,33.722,37.45,1.838,35.903,39.554,1.88,16.376,17.739,0.514,,,
5,8,,,,39.457,45.174,2.907,40.54,46.2,2.91,16.142,17.806,0.562,,,
6,1,,,,35.873,39.373,2.264,36.161,39.699,2.289,32.242,34.91,1.503,,,
6,2,,,,32.694,35.358,1.717,36.323,38.977,1.873,28.466,30.445,1.18,,,
6,3,,,,31.226,34.25,1.82,30.179,33.244,1.792,22.143,24.55,1.059,,,
6,4,,,,32.831,36.147,1.988,31.528,34.912,1.971,24.381,26.86,1.117,,,
6,5,,,,35.305,39.503,1.981,35.158,39.489,2.035,25.087,28.225,1.215,,,
6,6,,,,42.458,45.663,2.559,41.246,44.524,2.502,29.872,32.377,1.433,,,
6,7,,,,28.113,30.723,1.446,27.011,29.628,1.401,19.719,21.648,0.799,,,
6,8,,,,28.181,30.691,1.421,28.994,31.467,1.428,23.335,25.171,0.851,,,
